Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",18.750000,33.500000,90.000000,bottom
"C2","100nF","C_0402_1005Metric",19.750000,33.500000,90.000000,bottom
"C3","100nF","C_0402_1005Metric",20.750000,33.500000,90.000000,bottom
"C4","100nF","C_0402_1005Metric",21.750000,33.500000,90.000000,bottom
"C5","100nF","C_0402_1005Metric",26.250000,33.500000,90.000000,bottom
"C6","100nF","C_0402_1005Metric",27.250000,33.500000,90.000000,bottom
"C7","100nF","C_0402_1005Metric",28.250000,33.500000,90.000000,bottom
"C8","100nF","C_0402_1005Metric",29.250000,33.500000,90.000000,bottom
"C9","100nF","C_0402_1005Metric",31.250000,1.480000,-90.000000,bottom
"C10","100nF","C_0402_1005Metric",30.250000,1.480000,-90.000000,bottom
"C11","100nF","C_0402_1005Metric",29.250000,1.500000,-90.000000,bottom
"C12","100nF","C_0402_1005Metric",28.250000,1.480000,-90.000000,bottom
"C13","100nF","C_0402_1005Metric",23.750000,1.480000,-90.000000,bottom
"C14","100nF","C_0402_1005Metric",22.750000,1.480000,-90.000000,bottom
"C15","100nF","C_0402_1005Metric",21.750000,1.480000,-90.000000,bottom
"C16","100nF","C_0402_1005Metric",20.750000,1.480000,-90.000000,bottom
"C17","100nF","C_0402_1005Metric",46.730000,18.750000,180.000000,bottom
"C18","100nF","C_0402_1005Metric",39.250000,19.000000,180.000000,bottom
"C19","100nF","C_0402_1005Metric",39.250000,18.000000,180.000000,bottom
"C20","100nF","C_0402_1005Metric",39.250000,17.000000,180.000000,bottom
"C21","100nF","C_0402_1005Metric",39.250000,16.000000,180.000000,bottom
"J1","SYZYGY_TXR-4","QTH-020-01-F-D-DP-A",25.000000,28.000000,0.000000,bottom
"J2","SYZYGY_TXR-4","QTH-020-01-F-D-DP-A",25.000000,7.000000,180.000000,bottom
"J3","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",6.000000,18.750000,180.000000,bottom
"U1","DSC557-0333","VQFN14-2.5x3.2x0.9mm-EP1.4x2.1mm",43.750000,17.500000,180.000000,bottom
